,Activation Function,nLayers,nHidden,Iterations,Best Loss,RASE,Relative Error,Pearson Correlation,Elapsed Time
0,identity,1,1,69,8.90048861853487,4.218880563361314,1.008448209385265,0.008377435059823912,1.8463542461395264
1,identity,1,2,60,8.90062839901784,4.218850278150806,0.5042277242755471,0.008391671722787875,1.7998504638671875
2,identity,1,3,42,8.90098288984087,4.218884517464906,0.33615080179099,0.008375576282300012,1.337745189666748
3,identity,1,4,44,8.903022120349844,4.219411041181458,0.25209698883574566,0.00812804812400758,1.3527767658233643
4,identity,1,5,53,8.90234646450826,4.218843796228826,0.2016807041294852,0.00839471877231912,1.6467845439910889
5,identity,2,1,60,8.900581367616907,4.218868366245139,0.1680686567095872,0.00838316876949452,2.0547258853912354
6,identity,2,2,44,8.901378173239523,4.219144737292056,0.14405701150539302,0.008253246176792906,1.6933856010437012
7,identity,2,3,46,8.901635758580946,4.2188604589214975,0.12605080283500536,0.008386885893227225,1.770277500152588
8,identity,2,4,42,8.901599030879492,4.219047669007138,0.11204468774122824,0.008298879145116622,1.6519315242767334
9,identity,2,5,26,8.903227496627375,4.219117689447067,0.1008395456040597,0.008265961799580168,1.1018810272216797
10,identity,3,1,45,8.901521884252325,4.218992918719696,0.09167230627143605,0.00832461745071833,1.8507566452026367
11,identity,3,2,38,8.901739645919458,4.218915652325546,0.08403319786439678,0.008360940090180402,1.6933727264404297
12,identity,3,3,40,8.903296340972126,4.21889478273707,0.07756936036935723,0.008370750690636752,1.8078486919403076
13,identity,3,4,35,8.9022890794236,4.2198437539514195,0.07202657981957651,0.007924599034463964,1.6356377601623535
14,identity,3,5,44,8.902290179725682,4.21902739727556,0.06722483405152858,0.00830840899744778,2.0668768882751465
15,identity,4,1,59,8.900717171803853,4.218937104661109,0.06302347202711056,0.008350855495129372,2.7037720680236816
16,identity,4,2,46,8.900015806246953,4.218887003068101,0.059316449706641426,0.008374407828623975,2.3461360931396484
17,identity,4,3,45,8.902667908972127,4.2189851114246935,0.05602114875134754,0.0083282876607631,2.336703300476074
18,identity,4,4,30,8.902963048398393,4.219160415558808,0.053072483730335976,0.008245875536525893,1.661691665649414
19,identity,4,5,31,8.903605204357607,4.218988120282007,0.05041890854627576,0.008326873197488482,1.7424230575561523
20,identity,5,1,35,8.901108303044852,4.218952425573371,0.04801808905398571,0.008343653208512047,1.934894323348999
21,identity,5,2,38,8.901817139137664,4.218837437407864,0.045835632421488644,0.008397707949449273,2.2579290866851807
22,identity,5,3,45,8.901789953451871,4.219053730351982,0.04384274389639486,0.008296029664728866,2.6536459922790527
23,identity,5,4,37,8.903133323668088,4.218879136720005,0.042016077098079585,0.00837810570667119,2.249460220336914
24,identity,5,5,32,8.902623270359705,4.219122017142691,0.04033534911145924,0.008263927286407458,2.0336718559265137
25,identity,6,1,35,8.901616769683592,4.219031535819796,0.03878397815578978,0.008306463448796597,2.13226056098938
26,identity,6,2,39,8.902046764241494,4.218957164369673,0.037347573145032426,0.008341425518036294,2.703692674636841
27,identity,6,3,33,8.90238434345358,4.219062188011882,0.03601370179711637,0.00829205365311858,2.33119797706604
28,identity,6,4,43,8.90212039624317,4.218982091330882,0.034771869064122864,0.008329707405299258,2.9052579402923584
29,identity,6,5,34,8.903512255011327,4.221449598668793,0.03361151305651634,0.007169394689310216,2.4010119438171387
30,identity,7,1,32,8.902199800707535,4.21962455276092,0.032527007615158456,0.008027663732359525,2.2766377925872803
31,identity,7,2,32,8.903107914124481,4.219576317696529,0.03151032221415406,0.008050342326361926,2.351388931274414
32,identity,7,3,31,8.90179911796519,4.21884371247578,0.030555588389665968,0.008394758143277392,2.3936522006988525
33,identity,7,4,44,8.902203218375165,4.219768817805099,0.029656625747452592,0.00795983334722783,3.332620620727539
34,identity,7,5,38,8.904455557272364,4.2224326482907015,0.0288080075125631,0.0067069396159074035,2.9758615493774414
35,identity,8,1,43,8.900719121452298,4.219279213457695,0.02800776763764761,0.008190025579053128,3.212092161178589
36,identity,8,2,26,8.90240449276705,4.219776880428267,0.02725061113360877,0.007956042403212793,2.1783969402313232
37,identity,8,3,26,8.902876826108216,4.219151979405428,0.026533521542554558,0.008249841530098334,2.187358856201172
